"NEW_BP"|"SALDO_CHEQUE"|"SALDO_AHORRO"|"SALDO_CDP"
"1572282421"|0.00000000|7944.21000000|0.00000000
"1580101740"|0.00000000|1048.83000000|0.00000000
"1572011311"|0.00000000|4438.82000000|0.00000000
"1572281963"|45952.11000000|0.75000000|0.00000000
"1572278633"|181760.77000000|1378097.87276500|28480919.50000000
"1572279521"|11576.36000000|24056.52343500|0.00000000
"1572279508"|994.09000000|154695.53399500|0.00000000
"1572468975"|6069.20000000|49778.82527500|0.00000000
"1572278295"|11589.90000000|18.78000000|0.00000000
"1571975069"|0.00000000|199270.23495000|0.00000000
"1572281364"|10337.53000000|18283.73001500|0.00000000
"1572281314"|1186.92000000|8402.74564000|0.00000000
"1572280036"|198.40000000|19905.92601500|0.00000000
"1572280019"|12690.49000000|153670.49000000|0.00000000
"1572328335"|0.00000000|57599.86270200|0.00000000
"1572279467"|0.00000000|216093.07943500|697445.00000000
"1571541754"|16298.58000000|48855.03000000|0.00000000
"1580080790"|0.00000000|13998.44000000|0.00000000
"1572280276"|3870.59000000|111828.58174000|0.00000000
"1571570154"|0.00000000|41547.17282000|0.00000000
"1578321608"|42295.06000000|10028.69840500|0.00000000
"1572279774"|13402.61000000|32596.69000000|0.00000000
"1571574575"|45098.73000000|129365.00795500|6475000.00000000
"1580707669"|33117.27000000|0.01000000|0.00000000
"1571832671"|0.00000000|648323.65000000|0.00000000
"1573097070"|11574.11000000|3738.96879000|0.00000000
"1572320920"|0.00000000|5620.92856000|0.00000000
"1579220301"|0.00000000|250.43000000|0.00000000
"1572733761"|55.99000000|36440.51000000|0.00000000
"1572615467"|97.95000000|75.73000000|0.00000000
"1572652204"|0.00000000|35420.82000000|0.00000000
"1581158658"|0.00000000|1094.30000000|0.00000000
"1572852572"|0.00000000|352.89000000|0.00000000
"1572279954"|7800.00000000|538.33953500|0.00000000
"1571832306"|0.00000000|3768.48000000|0.00000000
"1572279961"|298.38000000|660995.52295300|5127401.87410000
"1572663056"|0.00000000|75.53000000|0.00000000
"1573093544"|61733.40000000|391209.62883000|0.00000000
"1571922776"|45059.91000000|144598.76262000|0.00000000
"1571557598"|5949.33000000|1497.67000000|0.00000000
"1572281046"|0.00000000|117235.73745000|0.00000000
"1572281078"|0.00000000|147214.28000000|0.00000000
"1572281123"|24071.65000000|79102.16648000|0.00000000
"1579643477"|0.00000000|0.00000000|0.00000000
"1572281252"|9042.16000000|14.32714000|0.00000000
"1572281361"|21754.18000000|170799.48130000|0.00000000
"1572281543"|925.07000000|0.00000000|0.00000000
"1572106381"|2.61000000|186045.68000000|0.00000000
"1572599847"|0.00000000|8380.48844000|0.00000000
"1572954642"|3237.02000000|2702.33000000|0.00000000
"1571850107"|6600.09000000|15607.09133500|0.00000000
