"NEW_BP"|"DEPARTAMENTO"|"MUNICIPIO"|"CIUDAD"|"BARRIO_CASERIO"
"1578490386"|"OLANCHO"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA FUENTE MIRAFLORES"
"1571988195"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA RESIDENCIAL VILLA DELMY"
"1580856587"|"ATLANTIDA"|"LA CEIBA"|"LA CEIBA"|"COLONIA IRIAS NAVAS"
"1572265321"|"CHOLUTECA"|"CHOLUTECA"|"CHOLUTECA"|"EL ATERRIZAJE"
"1572265271"|"CORTES"|"SAN PEDRO SULA"|"SABANA DE JUCUTUMA"|"RESIDENCIAL BOSQUES DE JUCUTUMA"
"1572265257"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA RESIDENCIAL VILLA UNIVERSITARIA I ETA"
"1572565846"|"SANTA BARBARA"|"LAS VEGAS"|"EL MOCHITO O MOCHO ARRIBA"|"EL MOCHITO O MOCHO ARRIBA"
"1572643386"|"OLANCHO"|"JUTICALPA"|"JUTICALPA"|"BARRIO LAS ACACIAS"
"1580856827"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA MONTEFRESCO"
"1572652397"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA FRANCISCO MORAZAN"
"1571958654"|"CORTES"|"CHOLOMA"|"LA JUTOSA"|"COLONIA LOS LAURELES"
"1581304450"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"BARRIO VILLA ADELA"
"1571988736"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA AYESTAS"
"1571989097"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA RES LOS ZORZALES"
"1578480533"|"CORTES"|"PUERTO CORTES"|"PUERTO CORTES"|"BARRIO EL PORVENIR"
"1580857322"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA RESIDENCIAL LUIS LANDA"
"1579121508"|"CHOLUTECA"|"CHOLUTECA"|"CHOLUTECA"|"BARRIO BELLA VISTA"
"1572279712"|"ATLANTIDA"|"LA CEIBA"|"LA CEIBA"|"BARRIO POTRERITOS"
"1578481355"|"CORTES"|"LA LIMA"|"LA LIMA"|"COLONIA USULA"
"1582846740"|"EL PARAISO"|"YUSCARAN"|"YUSCARAN"|"BARRIO CONCEPCION"
"1571957829"|"CHOLUTECA"|"EL TRIUNFO"|"EL CEDRITO"|"EL CARAO ARRIBA"
"1572279739"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"EL TIZATILLO"|"COLONIA RES MARIA AUXILIADORA"
"1572518272"|"COMAYAGUA"|"COMAYAGUA"|"COMAYAGUA"|"COLONIA LAZOS DE AMISTAD"
"1571989499"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"BARRIO EL BOSQUE"
"1572885110"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"ALDEA EL CARMEN"
"1572195952"|"COMAYAGUA"|"COMAYAGUA"|"COMAYAGUA"|"COLONIA BRISAS DE ALTAMIRA"
"1572045931"|"ISLAS DE LA BAHIA"|"JOSE SANTOS GUARDIOLA"|"JOSE SANTOS GUARDIOLA"|"BARRIO OAK RIDGE  PARTE NO. 1"
"1571908858"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA FIGUEROA"
"1572195840"|"COLON"|"TOCOA"|"TOCOA"|"BARRIO  18 DE SEPTIEMBRE"
"1580950970"|"OLANCHO"|"CATACAMAS"|"CATACAMAS"|"BARRIO EL HATILLO"
"1572046338"|"ISLAS DE LA BAHIA"|"ROATAN"|"ROATAN"|"COXEL HOLE O BARRIO EL CENTRO"
"1572639384"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA LOARQUE SUR"
