"NEW_BP"|"TC_MASTERCARD"|"TC_VISA"|"PRESTAMO_CONVENIO"|"PRESTAMO_CONSUMO"|"VIVIENDA"|"VEHICULO"
"1578905367"|0.00|18490.78|0.00|0.00|0.00|0.00
"1572795865"|19457.65|0.00|0.00|0.00|0.00|0.00
"1573021768"|0.00|14710.24|0.00|72892.19|0.00|0.00
"1572010002"|0.00|17422.82|0.00|0.00|0.00|0.00
"1579942858"|0.00|1156.31|0.00|0.00|0.00|0.00
"1577636585"|589.93|0.00|0.00|0.00|0.00|0.00
"1580100786"|23523.34|0.00|0.00|0.00|0.00|0.00
"1580783375"|0.00|155084.85|0.00|0.00|0.00|0.00
"1579260150"|9799.09|0.00|293611.92|0.00|0.00|0.00
"1572601271"|35190.80|0.00|0.00|0.00|0.00|0.00
"1582406771"|0.00|47951.15|0.00|0.00|0.00|0.00
"1571536233"|4843.49|0.00|0.00|0.00|0.00|0.00
"1572667805"|0.00|124225.15|0.00|0.00|0.00|0.00
"1572853928"|0.00|72826.94|0.00|98103.60|0.00|0.00
"1571822089"|31720.37|0.00|147572.67|0.00|0.00|0.00
"1571732505"|0.00|75353.17|0.00|0.00|0.00|0.00
"1571838378"|0.00|24406.44|0.00|0.00|0.00|0.00
"1582608693"|18324.80|0.00|0.00|0.00|0.00|0.00
"1572862706"|0.00|38913.52|0.00|0.00|0.00|0.00
"1581428588"|40379.78|0.00|0.00|0.00|0.00|0.00
"1582537516"|0.00|29834.98|0.00|0.00|0.00|0.00
"1571959279"|0.00|18016.19|0.00|0.00|0.00|0.00
"1580141255"|0.00|21196.74|63689.48|0.00|0.00|0.00
"1572466231"|0.00|14288.05|0.00|110981.19|0.00|0.00
"1572453247"|36022.32|0.00|0.00|0.00|0.00|0.00
"1581158658"|3192.75|39197.42|0.00|0.00|0.00|0.00
"1579176019"|9713.09|0.00|0.00|0.00|0.00|0.00
"1580087842"|0.00|19825.67|0.00|0.00|0.00|0.00
"1571787214"|16973.99|64286.37|0.00|0.00|0.00|0.00
"1572954037"|3660.87|0.00|0.00|0.00|0.00|0.00
"1572489753"|16219.48|0.00|0.00|0.00|0.00|0.00
"1581606744"|0.00|37907.73|0.00|0.00|0.00|0.00
"1581043925"|0.00|41730.63|0.00|0.00|0.00|0.00
"1581698445"|0.00|24958.89|0.00|0.00|0.00|0.00
"1581153156"|23286.03|16485.00|0.00|0.00|0.00|0.00
"1581025514"|0.00|37449.46|0.00|0.00|0.00|0.00
"1580436325"|17950.70|0.00|0.00|159132.86|0.00|0.00
"1571564725"|9806.22|0.00|80901.98|0.00|0.00|0.00
"1571601394"|0.00|13425.25|41715.92|0.00|0.00|0.00
"1572649132"|14540.19|0.00|0.00|0.00|0.00|0.00
"1571985610"|30553.22|0.00|0.00|0.00|0.00|0.00
"1571896380"|5687.19|0.00|0.00|0.00|0.00|0.00
"1578874787"|25764.93|0.00|0.00|0.00|0.00|0.00
"1572714338"|1115.02|0.00|284000.00|0.00|0.00|0.00
"1580564931"|42348.04|53620.79|0.00|0.00|0.00|0.00
"1571999659"|0.00|6726.79|0.00|0.00|0.00|0.00
"1580090803"|47911.41|0.00|0.00|0.00|0.00|0.00
"1578946685"|65526.73|0.00|0.00|0.00|0.00|0.00
"1579814436"|55982.44|0.00|0.00|0.00|0.00|0.00
