"NEW_BP"|"MONTO_LPS"|"FECHA_TRANSACCION"|"CANAL"
"1572278058"|1234.70|2024-05-22|"CREDITO CUENTA"
"1578907376"|2475.00|2024-06-28|"CREDITO CUENTA"
"1578907376"|3706.00|2024-06-17|"CREDITO CUENTA"
"1581446682"|12373.00|2024-06-30|"CREDITO CUENTA"
"1581446682"|6181.00|2024-06-21|"CREDITO CUENTA"
"1581446682"|12344.00|2024-06-05|"CREDITO CUENTA"
"1581446682"|3704.00|2024-06-11|"CREDITO CUENTA"
"1581446682"|12344.00|2024-06-05|"CREDITO CUENTA"
"1579365585"|3703.50|2024-06-02|"CREDITO CUENTA"
"1579365585"|3211.00|2024-05-12|"CREDITO CUENTA"
"1579639204"|20122.35|2024-05-04|"CREDITO CUENTA"
"1572296531"|4303.00|2024-06-24|"CREDITO CUENTA"
"1572296531"|4939.36|2024-05-11|"CREDITO CUENTA"
"1572296531"|12349.00|2024-05-13|"CREDITO CUENTA"
"1572296531"|12347.00|2024-06-12|"CREDITO CUENTA"
"1572296531"|1382.00|2024-05-09|"CREDITO CUENTA"
"1572296531"|1382.00|2024-06-09|"CREDITO CUENTA"
"1572296531"|4297.00|2024-05-24|"CREDITO CUENTA"
"1572296531"|4935.78|2024-06-11|"CREDITO CUENTA"
"1571961556"|12286.65|2024-05-12|"CREDITO CUENTA"
"1580913685"|14818.08|2024-05-12|"CREDITO CUENTA"
"1580913685"|20045.28|2024-06-05|"CREDITO CUENTA"
"1581388698"|981.67|2024-06-09|"CREDITO CUENTA"
"1581388698"|2469.00|2024-06-09|"CREDITO CUENTA"
"1581388698"|3012.18|2024-06-02|"CREDITO CUENTA"
"1581388698"|5218.03|2024-06-22|"CREDITO CUENTA"
"1581388698"|3507.40|2024-06-15|"CREDITO CUENTA"
"1581388698"|1358.18|2024-05-21|"CREDITO CUENTA"
"1581388698"|4937.34|2024-06-02|"CREDITO CUENTA"
"1581388698"|4937.98|2024-06-08|"CREDITO CUENTA"
"1581388698"|1728.38|2024-06-11|"CREDITO CUENTA"
"1581388698"|3216.67|2024-06-28|"CREDITO CUENTA"
"1581388698"|1235.00|2024-05-06|"CREDITO CUENTA"
"1581388698"|2841.00|2024-05-11|"CREDITO CUENTA"
"1581388698"|3458.00|2024-05-18|"CREDITO CUENTA"
"1581388698"|2470.00|2024-05-26|"CREDITO CUENTA"
"1577684325"|2469.06|2024-05-05|"CREDITO CUENTA"
"1572190436"|7409.04|2024-05-11|"CREDITO CUENTA"
"1572190436"|2321.80|2024-05-12|"CREDITO CUENTA"
"1572190436"|400.00|2024-05-24|"CREDITO CUENTA"
"1579511067"|4000.00|2024-05-28|"CREDITO CUENTA"
"1579511067"|8010.00|2024-06-16|"CREDITO CUENTA"
"1572650257"|10587.00|2024-05-04|"CREDITO CUENTA"
"1572650257"|8005.00|2024-05-18|"CREDITO CUENTA"
"1572650257"|8121.19|2024-06-01|"CREDITO CUENTA"
"1572229929"|2469.68|2024-05-16|"CREDITO CUENTA"
"1572825369"|12340.00|2024-05-03|"CREDITO CUENTA"
"1579891065"|2470.62|2024-06-18|"CREDITO CUENTA"
"1579891065"|1037.17|2024-05-20|"CREDITO CUENTA"
"1579891065"|1112.00|2024-05-10|"CREDITO CUENTA"
"1579891065"|1211.00|2024-05-20|"CREDITO CUENTA"
"1579891065"|9878.00|2024-05-08|"CREDITO CUENTA"
"1579891065"|22227.00|2024-05-16|"CREDITO CUENTA"
"1579891065"|22226.00|2024-05-17|"CREDITO CUENTA"
"1579891065"|22225.00|2024-05-21|"CREDITO CUENTA"
"1579891065"|22222.00|2024-05-25|"CREDITO CUENTA"
"1579891065"|20491.00|2024-05-30|"CREDITO CUENTA"
"1579891065"|10863.60|2024-06-08|"CREDITO CUENTA"
"1579891065"|246.90|2024-06-08|"CREDITO CUENTA"
"1572201487"|1318.86|2024-06-02|"CREDITO CUENTA"
"1572201487"|10027.75|2024-05-02|"CREDITO CUENTA"
"1572201487"|1292.91|2024-05-25|"CREDITO CUENTA"
"1572201487"|1004.96|2024-05-19|"CREDITO CUENTA"
"1572201487"|1262.07|2024-05-30|"CREDITO CUENTA"
"1572201487"|873.25|2024-06-04|"CREDITO CUENTA"
"1572201487"|290.25|2024-05-25|"CREDITO CUENTA"
"1572201487"|1264.95|2024-05-31|"CREDITO CUENTA"
"1572201487"|4049.16|2024-05-07|"CREDITO CUENTA"
"1572201487"|6049.05|2024-05-25|"CREDITO CUENTA"
"1572201487"|3908.92|2024-06-27|"CREDITO CUENTA"
"1572201487"|2470.00|2024-05-16|"CREDITO CUENTA"
"1572201487"|2469.00|2024-06-12|"CREDITO CUENTA"
"1580114359"|4940.00|2024-05-11|"CREDITO CUENTA"
"1580114359"|4938.00|2024-06-09|"CREDITO CUENTA"
"1580114359"|2471.00|2024-06-14|"CREDITO CUENTA"
"1580114359"|4939.00|2024-05-19|"CREDITO CUENTA"
"1580114359"|3581.00|2024-05-24|"CREDITO CUENTA"
"1572554456"|1482.00|2024-05-12|"CREDITO CUENTA"
"1572554456"|1235.00|2024-06-14|"CREDITO CUENTA"
"1579317932"|1852.50|2024-05-11|"CREDITO CUENTA"
"1579317932"|1975.20|2024-05-08|"CREDITO CUENTA"
"1572623951"|9011.80|2024-06-10|"CREDITO CUENTA"
"1580073142"|2296.80|2024-05-10|"CREDITO CUENTA"
"1580073142"|2472.24|2024-06-21|"CREDITO CUENTA"
"1571559242"|49380.00|2024-06-01|"CREDITO CUENTA"
"1571559242"|24690.00|2024-05-29|"CREDITO CUENTA"
"1571559242"|24690.00|2024-06-06|"CREDITO CUENTA"
